"","Zipcode","Population2017","Male2017","Female2017","Bachelor_total17","Hispanic17","PerCapital_income17","MedHomeValue17","Med_House_income17","Belov_Poverty_percent17","White17","Black17","Asian17"
"945",77478,25846,13032,12814,11053,23370,"51776","270200","91431","6.7",14325,2120,8606
"946",77479,88603,43099,45504,40006,80890,"52487","344400","135952","4.6",41603,6089,37357
"947",77480,7661,4137,3524,699,6656,"28856","106800","56111","17.9",6420,868,0
"948",77481,13,6,7,0,13,"73431","-","-","0.0",11,2,0
"949",77482,2274,1151,1123,158,1765,"20775","76100","-","32.6",2003,170,3
"950",77484,10710,5695,5015,1189,7081,"30320","176200","66000","12.6",9248,346,126
"951",77485,4691,2390,2301,442,3090,"24629","136900","54239","14.0",3775,287,35
"952",77486,7082,3494,3588,708,5581,"26472","121600","67701","10.4",5421,1125,4
"953",77488,14738,7443,7295,1372,9861,"21050","105200","45027","19.6",10450,3865,22
"954",77489,36786,17427,19359,7352,29597,"26598","117000","66124","9.6",5098,26989,1113
"955",77493,29984,14794,15190,6102,20107,"31064","171200","85865","5.9",23109,2175,1164
"956",77494,105854,52184,53670,41378,83616,"48249","318600","137600","3.9",72406,8180,19161
"957",77498,51037,25722,25315,13422,38669,"32123","186500","80307","11.1",21994,8799,14726
"958",77502,39040,19211,19829,1728,7922,"17450","92500","46105","21.1",33833,603,379
"959",77503,26171,13113,13058,1496,8947,"17481","92900","45778","15.6",22994,1079,114
"960",77504,23327,11373,11954,2533,9042,"23353","134700","40693","25.9",19288,1292,683
"961",77505,24230,12711,11519,4133,14131,"34398","172600","77490","6.1",20802,547,728
"962",77506,37736,19340,18396,838,4956,"14387","73300","34838","27.2",31647,780,192
"963",77507,0,0,0,0,0,"-","-","-","-",0,0,0
"964",77510,14608,7095,7513,1169,12526,"31222","157700","69647","9.5",14051,94,29
"965",77511,46121,23089,23032,4643,28300,"25963","125200","57098","13.9",43329,715,488
"966",77514,4443,2188,2255,447,3266,"23102","127200","38953","18.2",3499,548,252
"967",77515,31627,16468,15159,3700,21952,"26025","115000","61603","12.5",24387,4073,220
"968",77517,5688,2718,2970,476,4778,"28968","162400","74627","4.0",5524,0,0
"969",77518,10984,5994,4990,1203,6388,"21092","88500","38843","24.5",9177,152,302
"970",77519,1509,657,852,88,1434,"23392","56700","62379","4.9",1509,0,0
"971",77520,36694,18647,18047,2512,17351,"21597","80200","46311","17.4",24602,4716,294
"972",77521,57125,28849,28276,6310,34366,"26785","135500","62513","15.4",41311,10252,2064
"973",77523,21366,10716,10650,3413,16065,"35332","199000","100116","12.1",18723,1764,242
"974",77530,31119,15580,15539,1192,11218,"21319","91500","55761","15.4",24071,4526,69
"975",77531,16078,8011,8067,1399,8354,"26486","109400","57954","19.0",13350,1445,45
"976",77532,28320,13827,14493,3370,20955,"29974","135300","62606","14.2",22037,3114,271
"977",77533,849,452,397,80,802,"26487","60900","49423","7.3",825,2,0
